Elastic_Modulus (GPa),Load (kN),Length_of_Beam (m),X-sectional Width b (mm),X-sectional Height h (mm),Max Deflection (mm)
180,1,11,64,99,29.768707
147,2,6,44,86,26.251759
135,5,13,40,110,382.0923
168,2,12,30,93,213.12498
122,5,5,47,85,44.371647
151,4,12,31,110,277.34927
102,1,8,65,103,17.667892
200,1,5,45,95,4.049829
102,2,5,30,87,31.017075
113,1,14,56,87,164.62656
108,3,13,37,82,747.8668
132,4,6,46,102,33.521347
113,1,10,62,95,41.619717
158,1,10,65,80,47.544426
182,3,5,40,89,18.26711
122,3,10,61,90,138.2433
189,4,6,53,88,31.642302
119,4,15,43,84,1112.8087
124,1,13,47,93,117.16602
145,4,10,62,110,83.57228
171,4,15,37,90,731.7258
151,4,11,36,80,478.221
104,1,10,44,81,102.80138
156,2,7,34,89,45.86597
147,3,11,38,95,208.43353
171,3,8,43,104,46.426575
170,3,11,46,86,200.6953
160,3,13,48,81,403.71515
163,3,12,65,88,179.4965
133,4,9,54,88,148.9478
151,1,15,52,85,174.9753
170,5,10,33,96,251.84506
162,3,5,52,86,17.496758
121,4,7,49,99,59.622074
166,5,10,47,84,270.31256
152,5,12,69,85,335.3546
188,5,14,57,95,373.32806
183,4,14,35,99,441.52914
106,3,8,67,103,49.48104
171,1,12,65,86,61.105312
139,2,14,30,107,268.5757
114,2,14,66,91,241.98091
180,3,11,48,84,194.93405
103,4,11,31,90,571.8098
136,2,7,67,80,36.760418
149,2,12,30,81,363.7066
129,3,9,54,108,62.306602
162,3,13,49,102,195.6049
174,5,11,61,104,139.35063
170,3,8,38,93,73.900925
148,3,6,36,102,28.651691
190,3,9,39,100,73.78542
145,4,8,59,101,58.087917
108,4,12,54,100,296.2963
192,2,12,45,93,124.322914
186,2,7,44,110,15.744193
179,5,9,59,90,118.36001
112,3,14,63,99,300.59467
185,5,14,58,98,339.63794
157,2,7,33,99,34.114967
104,4,10,61,99,162.4543
166,5,12,64,87,308.7507
186,1,14,67,96,62.21895
108,3,6,33,99,46.845917
101,5,12,44,109,375.3187
169,5,11,62,107,129.61592
105,5,13,46,91,754.51654
160,1,13,40,103,78.53775
103,5,13,36,106,621.8458
151,2,9,48,96,56.841515
150,5,14,44,107,424.2275
165,5,11,37,87,413.85156
101,5,9,30,106,252.50928
120,3,10,44,81,267.28357
124,2,5,50,106,8.463904
134,5,6,65,94,37.321754
172,1,13,62,81,96.91586
147,4,13,48,81,585.89044
121,3,10,61,110,76.34279
168,1,11,59,106,28.186373
171,1,12,57,100,44.321327
112,4,5,50,87,33.897232
116,2,13,67,105,122.09542
169,5,15,47,88,779.3835
192,2,6,40,94,16.930859
168,2,11,40,108,78.61538
167,5,14,46,107,364.47565
132,1,15,30,93,264.89255
168,1,5,41,90,6.2234235
116,2,14,58,88,299.24033
122,5,9,36,103,189.87314
147,4,11,45,96,227.42307
126,1,10,33,93,74.74922
179,1,10,59,88,34.736572
160,1,11,54,83,67.35503
149,1,15,62,83,159.73553
100,2,7,44,89,55.289345
156,5,9,42,100,139.07968
194,2,13,61,110,69.74137
150,5,5,62,109,12.973513
149,1,15,36,96,177.79163
199,1,9,38,104,21.425493
161,4,8,53,110,45.080647
193,3,11,50,91,137.27385
198,2,10,60,107,34.355972
106,5,11,38,88,606.10876
199,2,7,42,89,29.106617
168,1,13,52,109,48.54874
113,1,8,40,83,49.52646
130,3,8,60,108,39.080975
179,5,13,34,101,437.96964
181,1,12,30,84,134.22891
190,4,15,62,97,313.91586
129,5,6,37,83,98.93228
173,1,11,33,90,79.95221
170,1,13,62,85,84.85407
176,3,5,61,101,8.475487
155,4,14,60,102,278.03574
145,3,15,57,85,498.6954
116,2,11,48,91,158.60785
190,2,8,33,84,68.886566
100,4,9,39,95,218.01788
158,4,13,42,80,646.62683
100,1,14,33,82,377.02368
151,5,9,31,97,213.29648
117,4,14,69,105,293.617
105,1,7,46,82,32.199226
135,1,7,47,100,13.514578
118,4,14,48,87,735.704
159,2,14,39,84,373.29703
153,4,9,34,101,136.01695
123,2,15,43,98,338.99396
163,5,13,63,82,485.03195
165,3,7,60,81,48.895077
123,2,15,55,94,300.32565
123,1,12,55,86,100.39696
187,2,7,42,104,19.41213
144,3,8,53,83,87.99511
110,5,13,59,89,600.24054
119,1,9,38,92,51.757526
194,2,5,47,107,5.595374
118,1,7,61,104,10.590641
134,1,15,69,90,125.17925
162,2,12,56,97,104.35074
199,2,15,49,90,237.39255
118,2,9,62,105,43.03838
163,3,10,44,108,83.01369
126,1,7,59,80,22.528984
184,1,15,50,81,172.57224
127,5,6,52,85,66.57328
130,5,15,33,103,899.9426
196,2,12,66,96,75.491844
154,1,14,41,98,115.43601
191,3,14,67,96,181.77054
107,5,15,48,110,617.13574
173,5,11,44,105,188.80843
151,2,13,66,81,207.40736
192,4,13,45,82,461.18457
178,5,6,46,91,43.758434
103,3,12,61,92,264.89542
143,4,10,63,89,157.45389
183,4,11,33,84,371.85632
198,2,15,52,84,276.5269
180,5,7,32,109,57.478065
123,4,14,57,97,428.83374
157,4,15,33,85,1060.7264
189,4,9,53,92,93.46013
123,3,12,39,97,296.01932
181,2,6,52,109,8.860584
161,5,6,63,109,20.555017
106,3,12,56,106,183.31311
146,3,10,63,97,89.34138
188,3,15,54,100,249.33511
129,5,10,64,101,146.95224
112,1,7,54,84,23.921284
130,3,12,46,93,269.43558
192,3,9,60,87,72.07399
149,5,7,36,81,150.40431
138,2,12,50,92,160.80562
137,4,13,50,82,581.6985
148,3,14,60,102,218.38957
100,3,14,64,94,387.15228
107,2,11,50,107,101.54134
200,1,15,52,103,74.24526
149,4,12,31,87,568.1174
154,5,7,37,108,59.732464
134,2,5,48,82,17.62351
181,2,6,45,101,12.869703
148,5,9,33,92,239.6064
192,1,9,30,102,29.815666
149,5,10,37,89,321.62665
152,1,12,46,110,46.41991
156,4,10,55,99,120.11774
125,2,15,43,103,287.31192
126,1,5,35,99,7.3030767
155,4,15,37,89,834.77673
166,1,14,47,90,120.61203
177,1,9,64,90,22.069208
175,4,7,52,102,35.518303
115,4,13,36,99,546.9204
152,1,6,51,102,6.564165
198,5,9,31,102,139.89757
156,1,7,70,96,8.875601
155,3,13,31,84,578.57556
199,5,13,51,107,220.88463
142,1,10,46,83,66.93597
154,4,12,31,83,633.03406
182,1,13,61,110,37.16985
111,4,10,39,81,434.66766
113,2,10,67,105,57.049114
153,1,15,65,98,90.14274
102,3,12,52,88,358.55307
160,1,10,32,87,74.15019
182,4,7,32,87,89.43654
196,4,13,58,83,337.9961
155,2,9,40,96,66.44956
189,4,6,67,86,26.817715
119,5,8,50,84,181.47849
119,5,15,55,86,1013.395
116,1,10,38,90,77.79844
120,2,13,59,81,291.9522
167,5,13,42,90,537.08966
135,5,6,69,101,28.133047
110,1,5,35,107,6.6257944
184,5,15,35,109,505.8461
174,5,8,61,107,49.2209
115,1,10,43,86,79.48375
115,2,5,68,90,10.963412
136,5,8,48,83,171.46109
155,1,13,53,107,54.577194
169,1,6,62,102,4.856405
133,4,7,54,82,86.6178
181,2,11,64,102,54.13635
131,5,8,38,95,149.9527
168,3,8,69,81,62.33297
190,2,15,68,90,179.16522
171,1,11,67,85,47.29229
128,5,14,54,103,454.12848
143,4,10,35,88,293.18915
116,2,8,47,103,42.970703
138,4,8,32,99,119.49103
144,1,14,38,96,141.6982
188,1,14,65,86,88.258705
161,3,12,61,99,136.0015
172,2,8,33,102,42.500793
135,2,14,57,86,280.31744
121,1,11,43,96,72.28539
146,5,11,44,81,487.33484
142,3,9,51,81,142.06111
167,5,13,70,106,197.24588
127,1,10,56,81,66.14442
138,5,10,65,97,152.6871
178,1,13,62,103,45.54563
128,5,9,30,85,386.41107
168,1,8,35,93,27.063492
158,4,9,41,83,196.81232
138,4,7,30,84,139.7835
174,5,6,58,105,23.110994
163,1,12,67,82,71.74304
133,3,6,52,84,39.520473
181,5,12,56,82,386.4965
136,3,9,64,97,68.82634
115,3,7,56,98,42.441555
184,2,5,40,83,14.8514185
138,2,12,46,109,105.098694
101,4,7,37,105,79.28721
131,5,7,61,94,64.59805
104,1,9,53,103,30.258448
125,5,6,65,102,31.314098
180,3,15,38,97,405.47464
155,4,14,62,80,557.6873
180,1,7,61,100,7.8096533
192,1,10,37,110,26.43985
157,1,5,42,83,8.288325
107,5,12,49,109,318.12253
128,1,15,66,95,116.490105
146,1,13,34,91,146.82977
174,5,13,36,110,329.3899
189,2,6,63,95,10.579145
118,4,5,39,109,20.974125
193,3,8,33,87,91.55924
189,2,13,52,86,175.72743
129,2,11,30,87,261.1436
187,1,9,39,87,37.949284
103,3,14,36,102,523.00415
132,3,13,37,100,337.37717
151,1,10,47,106,29.576557
160,3,10,42,110,83.8521
154,1,9,31,98,40.560837
151,5,12,67,90,292.86972
136,3,5,50,87,20.936525
110,5,13,64,97,427.4174
126,5,13,69,88,463.5242
185,1,13,70,105,36.638054
197,3,8,32,95,71.04675
162,3,14,30,105,365.79785
139,4,8,38,104,86.173065
138,5,12,61,106,215.44044
114,5,11,44,102,312.5576
123,2,15,41,97,366.63983
117,3,8,35,99,96.643295
139,1,13,59,105,57.854267
197,1,9,33,95,32.69765
143,2,15,58,108,161.51337
139,5,9,35,105,161.8031
117,2,6,60,92,19.7571
180,4,5,65,105,9.229034
107,5,12,54,94,450.08304
159,3,8,41,84,99.383064
155,4,14,38,81,876.62476
125,4,6,31,85,90.766426
191,2,12,67,91,89.594505
193,3,8,43,91,61.40183
145,3,8,64,90,56.76174
174,4,14,65,108,192.5973
133,2,15,56,99,233.50626
148,4,11,53,90,232.76245
107,3,6,37,92,52.549187
158,2,7,33,95,38.363857
185,2,13,60,110,74.35309
139,2,11,45,99,109.65164
164,3,10,48,108,75.63188
148,3,9,56,91,87.54168
153,3,13,47,92,294.26495
132,3,9,46,100,90.044464
148,5,14,44,93,654.8335
174,1,11,42,85,74.14173
181,4,11,70,107,85.75316
167,5,12,53,107,199.20952
184,4,12,42,89,317.1806
175,4,14,56,92,359.5792
115,4,7,56,93,66.21546
162,5,15,56,106,390.44797
178,1,9,38,92,34.60194
188,3,14,57,82,348.31415
120,1,14,65,102,82.87604
130,5,10,51,110,141.6506
181,4,7,33,106,48.215202
153,3,15,70,99,243.57907
165,2,8,45,108,27.369839
118,2,13,55,81,318.49332
152,2,7,48,82,42.6322
147,1,9,69,109,13.874637
144,4,12,45,109,205.9156
154,1,8,67,105,10.716342
165,3,9,57,97,63.69639
179,2,12,33,82,265.28043
168,5,11,57,81,326.92557
103,5,10,53,87,347.7276
101,2,10,34,110,109.39353
157,2,14,69,83,221.49866
162,5,14,40,95,617.3739
132,4,12,44,89,422.0337
106,4,9,47,106,122.85878
192,2,13,57,84,169.35036
164,5,5,44,86,34.043026
118,1,14,41,88,208.07036
173,2,12,66,85,123.215965
122,3,14,45,87,569.266
142,2,7,51,93,29.441284
127,2,7,53,102,24.00955
142,3,11,51,98,146.45444
135,5,13,70,87,441.31683
136,2,5,30,88,22.478733
198,5,11,60,110,105.21885
111,2,5,30,107,15.320908
102,2,11,63,81,194.87328
196,3,12,50,94,159.21916
145,5,8,50,87,134.05537
181,2,14,56,103,123.872765
199,3,6,47,80,33.829384
151,3,8,36,90,96.90011
172,1,5,33,100,5.5056376
198,2,6,45,97,13.281003
161,3,15,39,81,758.55914
189,5,13,46,104,280.81506
187,1,13,55,90,73.255165
104,2,8,32,93,95.633
200,4,13,60,103,167.54718
131,5,12,31,80,1038.8452
137,5,14,35,88,1049.6814
165,5,13,50,91,441.7351
174,3,7,64,98,24.544147
105,3,12,53,88,341.73685
120,2,10,58,99,74.038086
193,2,15,40,104,194.324
171,4,10,31,105,162.95747
123,5,5,70,91,24.08201
127,5,9,67,104,95.20484
128,2,7,61,90,30.129837
186,4,6,51,98,24.19315
143,2,12,56,89,153.0452
112,5,7,38,83,176.18472
143,4,15,44,97,587.7191
195,5,12,63,94,211.6874
179,1,11,47,81,74.42384
198,2,14,62,86,175.71219
174,5,15,60,107,329.8618
106,4,10,68,87,210.682
131,2,13,62,110,101.61528
168,2,8,41,104,33.040516
159,4,7,52,101,40.265167
164,3,6,69,84,24.15373
181,1,10,65,107,17.345896
143,2,9,69,106,31.016644
133,5,7,62,110,39.06454
179,2,7,41,84,39.4266
161,3,5,40,102,13.7178135
104,2,13,69,96,173.02304
160,4,15,32,101,639.7933
105,5,15,42,94,1151.759
157,1,6,37,88,13.640944
139,3,14,59,90,344.23184
188,4,7,36,93,63.006435
105,2,7,32,99,52.60406
183,1,8,35,85,32.541237
190,3,5,48,87,15.610567
140,2,9,62,80,82.017746
134,5,8,43,105,95.94864
148,1,14,65,86,112.112404
167,2,7,57,102,16.977442
135,4,15,41,103,558.0132
199,1,8,70,103,8.409055
154,2,10,69,97,51.55669
161,5,6,38,107,36.024918
186,3,7,36,81,72.29111
173,5,10,37,95,227.76729
129,1,7,31,101,20.812227
122,3,15,47,90,605.5497
194,1,12,55,100,40.487347
171,4,14,51,93,391.1731
128,1,8,39,90,35.172874
157,1,11,57,88,54.56266
135,5,13,51,101,387.1435
116,2,13,50,84,319.5466
112,5,9,52,91,207.63092
186,1,15,52,106,73.245316
158,1,9,49,105,20.335108
193,5,7,42,84,89.24003
168,4,12,49,100,209.91254
197,3,9,56,105,42.81211
182,1,7,65,99,7.4703984
131,3,12,47,104,187.12671
146,5,12,65,105,196.61635
176,5,7,68,93,44.53831
198,3,6,66,89,17.584736
137,1,11,45,93,67.102104
154,2,8,66,109,19.448935
198,5,8,53,100,60.987236
194,5,7,44,81,94.51368
122,1,14,35,100,160.65573
140,4,10,34,91,278.78467
157,5,12,68,89,286.99554
189,5,7,36,104,56.019577
116,5,13,53,91,592.7642
166,2,9,69,86,50.03167
192,3,13,65,93,164.14511
149,3,10,49,86,161.5041
193,3,11,45,108,91.24272
134,5,5,36,103,29.64156
179,3,7,66,93,27.071327
119,4,8,53,88,119.123955
195,1,12,69,102,30.255165
199,4,8,50,100,51.457287
159,4,5,48,103,14.988562
186,5,11,58,92,198.054
176,2,6,67,107,7.4762697
187,2,5,61,98,5.821439
155,2,14,57,104,138.05353
171,1,14,62,94,77.90275
186,2,13,46,105,110.907616
128,3,13,42,85,499.08588
186,3,10,50,95,94.06054
148,1,15,44,107,105.76648
146,5,13,39,109,372.42865
182,3,13,64,104,125.759254
127,2,10,38,87,157.33485
137,1,13,37,86,170.35405
138,3,12,50,97,205.79779
197,4,13,61,81,344.01624
132,1,14,45,92,148.31126
102,3,12,33,96,435.18826
182,4,12,36,97,288.97128
145,5,13,56,108,268.48053
171,3,8,40,84,94.71903
179,4,15,51,88,542.5035
121,5,10,56,96,208.50809
165,1,15,44,81,218.68655
181,1,6,38,84,13.246274
198,5,7,51,94,51.119335
168,4,15,67,99,309.01825
167,5,12,69,95,218.63382
181,5,10,47,80,286.9879
186,1,5,32,87,7.973139
163,2,6,40,94,19.943098
200,1,13,62,80,86.51241
148,3,14,37,110,282.36044
179,1,11,46,108,32.080116
159,5,7,37,101,70.736115
194,1,8,64,86,16.20813
135,3,13,68,102,169.1407
188,1,12,42,98,58.12974
177,2,9,56,104,32.691605
161,5,8,68,84,98.629616
140,2,5,61,92,9.398502
157,1,8,30,88,39.878704
146,1,9,67,86,29.291697
161,4,9,52,93,108.25537
116,1,6,62,109,5.7978177
186,1,9,63,99,16.029076
152,4,13,64,103,206.67827
136,4,9,67,97,87.659424
170,4,13,50,105,223.27661
179,5,7,36,86,104.605194
114,4,13,60,106,269.68475
190,5,6,58,97,26.845222
187,1,13,47,80,122.05643
187,4,15,50,89,512.0262
186,3,15,58,90,321.85965
169,4,15,60,80,650.07855
129,1,13,35,96,137.4987
107,1,10,37,87,95.895164
174,2,11,51,89,106.37966
195,1,13,39,102,68.05661
147,4,14,34,98,583.32367
188,5,9,49,89,140.31807
158,1,5,56,83,6.176901
152,3,12,30,100,284.2105
101,3,8,32,91,157.66515
168,5,6,65,98,26.270168
191,5,9,30,90,218.1501
154,2,12,41,80,267.26324
156,2,13,55,92,164.41797
121,3,13,47,98,307.84344
128,4,8,39,89,145.48738
197,1,12,58,102,35.627804
110,2,8,60,109,29.951357
181,2,11,62,80,115.82647
195,3,15,43,84,509.3239
195,2,8,63,96,23.553265
162,2,9,31,80,141.75906
116,2,7,45,93,40.84555
178,4,11,50,88,219.45224
118,5,6,39,97,64.28386
156,1,9,46,108,20.161081
116,4,5,65,106,13.919417
126,5,14,34,93,995.3958
106,5,8,32,96,213.2605
139,3,5,59,109,8.827241
135,2,6,57,98,14.912035
177,5,13,39,82,721.54034
137,1,13,47,80,166.60257
151,5,14,68,94,402.18393
108,1,13,34,108,118.73975
113,3,13,52,107,228.90656
170,3,12,43,82,321.5482
140,3,9,54,88,106.12531
134,2,14,33,105,268.02014
149,4,9,34,80,281.0557
173,5,13,47,84,569.8469
103,2,13,39,107,223.22708
153,5,14,55,80,796.10443
195,3,5,59,107,6.65171
189,1,8,43,81,29.636345
170,3,10,32,104,122.563835
110,4,12,64,102,231.2973
172,2,12,39,88,189.00473
127,4,12,65,95,244.14952
179,3,7,48,102,28.213737
133,4,13,61,82,491.142
171,4,14,41,105,338.09305
134,3,15,66,86,449.97763
189,3,8,61,84,56.195522
133,4,6,65,88,36.664078
122,4,11,31,91,467.01663
106,4,13,31,89,948.40204
116,4,6,38,93,60.920483
117,1,10,50,95,49.844048
160,5,9,32,92,228.56204
175,5,15,39,105,533.9655
153,4,8,66,108,40.249763
168,1,8,69,108,8.7655735
196,4,7,53,101,32.04779
192,4,6,44,97,28.014614
110,5,6,70,92,45.030792
129,4,15,52,104,447.28128
135,1,15,61,106,86.02656
142,5,10,67,84,221.67107
104,2,10,36,98,141.89136
105,5,12,64,102,302.8893
154,1,5,56,83,6.33734
100,5,8,44,91,193.02036
193,4,8,47,93,70.17233
155,5,5,54,104,16.595661
189,3,8,39,99,53.690723
106,4,9,44,104,138.95332
154,2,6,53,84,22.32489
166,5,11,58,109,133.43585
170,4,6,63,80,39.39076
148,1,7,59,83,17.17458
193,5,10,40,88,237.59904
102,5,10,69,80,346.8892
100,4,13,37,91,787.9599
105,2,12,51,101,156.59941
178,1,9,53,91,25.635834
116,5,9,67,87,178.05206
186,2,11,54,83,115.87962
177,3,12,56,106,109.78073
186,1,14,49,89,106.76898
191,2,6,56,105,8.722369
181,1,7,42,105,9.744024
179,1,13,44,92,89.55728
160,4,12,64,99,173.91547
193,1,13,66,97,47.24476
143,3,15,37,93,594.7691
165,3,5,59,85,15.681172
108,1,12,31,93,160.41664
144,2,11,32,85,235.16832
162,4,15,54,107,314.92972
120,1,9,36,102,39.754227
180,3,14,35,110,245.4295
153,1,12,56,99,51.96354
159,5,15,52,99,525.8692
198,3,11,42,90,164.66348
175,5,14,49,85,651.33325
137,5,8,34,93,170.81721
125,5,9,70,92,133.74146
164,3,5,44,95,15.153186
115,5,5,40,82,61.60566
146,4,11,61,108,118.63808
194,5,7,43,98,54.607933
192,1,12,64,108,27.908165
159,2,7,44,86,38.54064
109,5,5,69,86,32.66247
117,3,12,64,93,215.17426
109,5,14,37,90,1166.644
139,2,9,46,104,50.678635
132,1,9,60,88,33.767143
161,5,13,65,96,296.6109
178,1,5,65,96,3.0528324
147,4,9,64,92,99.51
187,2,15,49,107,150.33315
140,1,5,32,87,10.592885
116,4,12,67,86,349.55505
161,1,7,39,91,18.122557
115,2,15,53,105,239.16751
182,2,5,38,85,14.715271
113,5,9,60,83,235.05722
173,1,9,65,105,14.000392
137,3,15,45,96,464.07507
164,3,14,49,92,328.8834
186,2,13,70,91,111.960526
169,1,5,38,99,5.0150375
175,2,5,54,92,8.493462
152,4,14,58,80,607.91455
161,2,15,54,94,233.69023
149,5,12,47,101,299.36807
192,1,9,56,80,33.10612
122,1,9,66,93,28.139404
192,4,7,48,89,52.79364
184,4,7,58,88,47.162876
157,2,6,34,108,16.061049
200,3,14,69,85,242.834
108,1,7,58,102,12.899766
167,1,5,30,107,5.0916786
139,2,9,59,103,40.674202
188,3,7,62,102,20.797222
140,2,14,40,91,325.11868
115,2,10,31,100,140.25246
191,4,9,46,100,82.97291
161,5,7,69,101,37.459766
121,1,10,38,109,41.984745
105,2,11,38,94,200.81288
197,4,10,59,101,83.50599
126,4,11,31,107,278.15988
174,1,7,35,100,14.080459
112,5,15,69,81,1027.2157
166,3,12,50,81,293.81357
190,4,11,64,102,103.144
135,1,8,56,99,17.449484
195,4,10,40,81,241.24057
129,4,9,57,85,161.43814
190,4,12,30,82,549.8286
165,5,12,47,101,270.33844
172,1,10,42,80,67.59154
127,5,14,48,97,616.5013
177,1,8,62,110,8.763286
157,5,9,49,80,231.35126
140,5,12,67,80,449.76013
118,4,13,46,91,537.11346
127,1,8,36,103,25.620764
152,2,14,32,82,511.5864
192,5,13,69,106,174.04924
149,2,5,57,97,8.063131
123,5,12,34,103,472.67
197,2,10,50,86,79.806526
185,2,6,41,102,13.417378
107,3,10,45,101,151.18228
185,5,9,66,83,130.52316
116,3,13,39,94,438.51572
128,2,7,35,100,38.28125
100,5,7,52,101,80.02703
120,3,8,46,104,61.843224
176,1,12,40,101,59.55894
123,4,8,60,95,80.91756
182,1,7,47,82,18.18123
188,2,9,33,80,114.75082
135,1,14,42,90,165.96385
140,4,11,46,87,313.8589
138,5,15,66,103,423.88605
138,4,14,53,89,532.1807
113,5,6,66,105,31.273283
173,5,8,47,103,72.031815
199,1,14,54,107,52.11058
103,5,13,33,101,784.1962
192,5,7,60,84,62.793373
162,2,7,58,105,15.76715
162,3,10,34,100,136.16559
173,5,9,49,83,188.0014
134,5,5,63,83,32.369827
100,1,5,34,102,8.661051
175,3,11,69,97,90.58098
130,3,6,58,84,36.249817
109,4,10,63,90,199.75856
142,2,15,40,107,242.51807
157,4,15,61,104,313.2884
197,5,6,68,92,25.883627
180,2,7,41,109,17.94437
148,4,8,59,103,53.659245
200,1,6,33,90,11.223344
196,2,15,43,90,274.65768
114,5,8,61,99,94.85051
123,1,6,70,88,9.2032795
165,2,7,30,87,52.61398
152,3,9,41,100,87.73267
135,2,5,66,104,6.235945
171,1,5,54,96,3.8251321
157,1,10,42,101,36.798233
125,5,12,66,108,207.8397
176,2,10,47,98,64.22162
154,3,5,33,97,20.212564
130,1,11,67,80,74.615654
145,4,5,31,92,35.71222
136,2,5,56,96,9.275544
169,2,12,40,102,120.438835
109,3,8,41,90,117.8673
184,1,12,31,102,71.368034
118,4,7,33,89,124.94767
150,2,14,40,83,399.9158
156,1,10,58,96,31.230125
143,5,5,52,103,19.229542
139,5,9,70,110,70.36338
157,4,6,46,98,31.777376
150,5,11,65,85,277.8604
115,5,5,48,108,22.47034
130,4,11,37,104,245.99878
121,3,10,62,95,116.604
196,5,13,31,86,710.60284
123,4,15,54,108,403.37003
182,2,6,30,88,29.025726
112,4,15,34,83,1550.0388
175,3,12,61,86,190.8718
200,4,5,44,104,12.6277895
134,1,5,43,86,8.526708
195,4,14,46,84,516.1237
109,1,8,60,82,35.49692
173,4,13,66,100,192.41548
120,3,9,70,85,105.98702
180,4,14,61,103,228.70206
182,1,14,46,92,105.22802
181,5,6,44,104,30.139254
195,1,11,45,102,35.733078
139,5,10,55,88,239.92998
112,3,7,50,101,44.58649
136,3,15,50,101,361.29507
183,4,10,52,95,122.56733
129,5,6,40,86,82.26568
153,1,11,66,91,43.727886
144,2,10,57,86,95.77172
103,1,10,30,89,114.76554
181,5,11,60,89,217.31425
168,2,15,49,99,211.26756
106,3,10,51,110,104.23347
150,5,14,59,95,452.0433
107,5,8,48,99,128.42494
144,3,14,53,85,439.0867
158,2,9,50,82,83.68139
146,3,15,45,86,605.7233
121,5,9,64,88,172.6729
177,2,11,57,87,100.171036
103,3,7,54,88,67.869774
162,1,5,54,89,5.067237
159,1,14,38,88,166.6078
101,5,15,64,83,1141.427
182,1,7,69,82,12.384318
194,3,15,51,81,481.4022
134,5,13,41,106,419.695
129,5,6,60,89,49.482628
127,4,12,30,95,528.9906
147,2,6,39,87,28.607775
129,2,5,36,81,25.324026
162,3,11,56,110,82.67196
167,1,11,41,104,43.20338
128,1,14,67,97,87.644394
190,2,11,55,82,115.50219
146,2,13,66,103,104.32577
129,5,14,56,83,830.39
115,1,13,67,107,58.189697
101,5,13,54,108,399.71796
115,4,9,51,97,136.18971
113,5,5,52,98,28.252703
147,1,6,47,109,6.0353026
125,5,5,35,94,42.999004
145,3,6,60,104,16.553724
123,1,11,44,97,67.36667
162,5,11,38,93,336.00104
106,4,11,54,108,184.58958
130,4,9,37,105,130.92258
159,4,12,35,92,398.76324
100,2,13,64,87,260.65277
118,1,7,59,100,12.316863
126,2,8,52,107,31.894423
135,4,13,47,106,290.724
156,4,14,65,96,305.86688
136,2,14,68,96,167.68437
176,3,15,65,85,360.29
175,3,7,30,101,47.558918
162,5,13,65,94,313.9989
195,3,12,62,80,209.36723
139,3,7,37,97,54.80544
118,4,5,43,99,25.389488
169,5,10,52,91,188.75385
187,3,12,69,84,169.46361
156,1,9,47,84,41.937954
103,1,9,39,80,88.612656
183,5,12,43,89,389.37152
122,5,13,33,80,1332.2825
161,1,12,34,91,104.72607
185,1,14,36,95,120.137634
195,5,6,37,80,73.08991
190,3,11,64,90,112.61032
155,3,11,32,104,178.91948
199,2,15,52,99,168.06674
109,4,7,67,100,46.967
153,2,8,43,94,46.84859
200,1,6,53,94,6.1334434
100,4,6,60,100,36.0
122,2,6,58,82,27.681805
137,3,10,41,108,105.99505
114,5,12,67,87,429.4537
158,5,5,61,105,14.004421
153,1,7,53,106,8.878697
197,2,14,54,100,128.9716
133,2,10,46,84,137.8868
190,4,11,39,98,190.84537
192,1,13,40,105,61.779007
117,4,6,51,108,28.736008
121,2,6,34,83,45.911892
117,5,6,33,88,102.6162
180,1,5,39,109,3.4374263
102,2,6,41,97,28.295969
178,2,11,50,100,74.77528
101,1,14,30,92,290.74887
144,3,5,50,89,18.470081
128,4,9,42,100,135.60268
124,4,5,56,109,13.900193
133,1,9,31,106,37.113903
200,5,6,37,102,34.38203
150,1,5,52,104,3.5616841
129,1,6,32,105,11.3002
199,1,5,55,96,3.2271605
103,1,7,30,101,26.934662
118,5,15,60,97,652.883
103,4,6,55,91,50.597572
149,1,10,67,103,22.9175
194,2,12,46,89,137.33592
175,5,13,68,103,211.19391
109,3,15,43,104,480.10922
111,3,8,55,87,95.51857
189,2,14,37,107,160.15454
110,3,14,44,99,438.22223
147,5,13,42,103,407.06308
108,5,15,41,91,1264.3053
165,5,11,55,98,194.78845
134,5,12,53,95,354.73352
105,1,12,42,107,79.963875
141,1,8,66,107,11.227823
158,3,5,38,94,18.799532
148,2,14,45,103,188.52467
153,1,11,49,100,44.38442
175,3,8,50,85,71.46055
183,5,7,39,85,97.8209
177,3,9,48,107,52.53188
151,5,6,63,100,28.382214
169,4,13,70,82,336.8246
169,2,14,67,95,141.3259
155,2,15,55,84,333.97314
163,1,9,57,103,17.951195
193,1,15,58,108,59.835262
177,2,8,61,81,44.615093
146,2,5,58,82,13.386209
192,1,11,47,100,36.87389
140,3,5,30,88,32.754726
171,1,13,51,84,106.25905
108,3,13,70,99,224.62804
150,1,14,65,85,114.56784
144,4,14,42,82,822.8691
176,3,15,70,100,205.45859
103,5,7,54,99,79.44518
141,3,15,64,103,256.69904
176,4,11,66,91,152.05379
124,1,13,32,86,217.62213
162,2,10,53,80,113.73894
134,3,5,37,107,15.435241
150,2,7,33,89,49.146084
180,4,15,53,98,375.87823
198,5,6,65,91,27.839476
196,4,9,44,95,98.59343
193,5,12,40,93,347.84647
129,3,11,49,96,178.50066
152,5,5,39,94,31.734253
133,1,15,56,94,136.39252
195,4,11,39,105,151.18576
198,5,6,35,101,37.815197
133,4,7,69,97,40.95229
121,2,8,41,107,42.12301
113,3,8,40,84,143.33589
126,2,6,63,108,10.800439
